dataset,dataset_label,structure,order,variable,label,type,datatype,length,key,mandatory,role,codelist,origin,comment,core,change
AE,Adverse Events,One record per adverse event per subject,31,AEDTC,Date/Time of Collection,Char,date,10,,No,TIMING,,Derived,Date of final visit (SV),,
AE,Adverse Events,One record per adverse event per subject,32,AESTDTC,Start Date/Time of Adverse Event,Char,date,10,4,No,TIMING,,"CRF Page 121, 122, 123",,,
AE,Adverse Events,One record per adverse event per subject,33,AEENDTC,End Date/Time of Adverse Event,Char,date,10,,No,TIMING,,"CRF Page 121, 122, 123",,,
AE,Adverse Events,One record per adverse event per subject,34,AESTDY,Study Day of Start of Adverse Event,Num,integer,8,,No,TIMING,,Derived,,,
AE,Adverse Events,One record per adverse event per subject,35,AEENDY,Study Day of End of Adverse Event,Num,integer,8,,No,TIMING,,Derived,,,
DS,Disposition,One record per disposition status or protocol milestone per subject,1,STUDYID,Study Identifier,Char,text,12,1,Yes,IDENTIFIER,,CRF Page 7,,,
DS,Disposition,One record per disposition status or protocol milestone per subject,2,DOMAIN,Domain Abbreviation,Char,text,2,,Yes,IDENTIFIER,,Assigned,,,
DS,Disposition,One record per disposition status or protocol milestone per subject,3,USUBJID,Unique Subject Identifier,Char,text,11,2,Yes,IDENTIFIER,,Derived,"Concatenation of STUDYID, DM.SITEID and DM.SUBJID",,
DS,Disposition,One record per disposition status or protocol milestone per subject,4,DSSEQ,Sequence Number,Num,integer,8,,Yes,IDENTIFIER,,Derived,Sequential number identifying records within each USUBJID,,
DS,Disposition,One record per disposition status or protocol milestone per subject,5,DSSPID,Sponsor-Defined Identifier,Char,text,2,,No,IDENTIFIER,,Assigned,,,
DS,Disposition,One record per disposition status or protocol milestone per subject,6,DSTERM,Reported Term for the Disposition Event,Char,text,63,,Yes,TOPIC,,"CRF Page 106, 139",,,
DS,Disposition,One record per disposition status or protocol milestone per subject,7,DSDECOD,Standardized Disposition Term,Char,text,63,3,Yes,SYNONYM QUALIFIER,DISCCD,"CRF Page 106, 139",,,
DS,Disposition,One record per disposition status or protocol milestone per subject,8,DSCAT,Category for Disposition Event,Char,text,17,,No,GROUPING QUALIFIER,DSCAT,Assigned,,,
